place_id,canonical_name,lat,lng,address,category,sub_category,keywords,district,image_url,source_url,source,location_confidence
POI_47747509,서울시어울림플라자,37.5535154167762,126.861449995331,서울특별시 강서구 공항대로 489,기타,,,강서구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2bbd57fbceea4f109383d9a684bc45e9&thumb=Y,https://seouleoullim.or.kr/ ,서울시문화공간,A
POI_2A757C65,서울시청 하늘광장 갤러리,37.56672958991572,126.97860700965404,서울특별시 중구 세종대로 110,미술관/갤러리,,,중구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f6445d7ba66d4a61be3224af23d29c7c&thumb=Y,http://skyplazagallery.com/,서울시문화공간,A
POI_5F5984C0,서울식물원,37.5722444079878,126.83284283132,서울특별시 강서구 마곡동로 161,공원/광장,,,,,https://botanicpark.seoul.go.kr/,서울시야경명소,A
POI_07B6805E,서울아트센터 도암,37.6057079931502,126.967906461707,서울특별시 종로구 평창문화로 70,공연장,,,종로구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5a946b4c4ded40ba9ef461c42b86ddfd&thumb=Y,https://doam.me/,서울시문화공간,A
POI_B389B138,서울아트시네마,37.5681732680976,126.969976113229,서울특별시 중구 정동길 3 경향아트힐 2층,공연장,,,중구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d8f1d6bb66644efeaa09a8e7439d53ec&thumb=Y,http://www.cinematheque.seoul.kr/,서울시문화공간,A
POI_7BCEC920,서울아트책보고,37.4982125677913,126.867088741096,서울특별시 구로구 경인로 430,기타,,,구로구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=68074bcb4c2f412da8e223b686059cf5&thumb=Y,https://artbookbogo.kr/,서울시문화공간,A
POI_6895A141,서울약령시한의약박물관,37.5806004145096,127.037586644096,서울특별시 동대문구 약령중앙로 26,박물관/기념관,,,동대문구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100150&thumb=Y,http://museum.ddm.go.kr/,서울시문화공간,A
POI_C84784F0,서울어린이대공원 내 서울상상나라,37.5520117940291,127.078770241307,서울특별시 광진구 능동로 216,공원/광장,,,,,https://www.sisul.or.kr/open_content/childrenpark/,서울시야경명소,A
POI_D7FBC5E2,서울어린이대공원 음악분수,37.5520117940291,127.078770241307,서울특별시 광진구 능동로 216,공원/광장,,,,,https://www.sisul.or.kr/open_content/childrenpark/guidance/fun/water.jsp,서울시야경명소,A
POI_6E83DB9A,서울어린이대공원 팔각당 오름광장,37.5520117940291,127.078770241307,서울특별시 광진구 능동로 216,공원/광장,,,,,https://www.sisul.or.kr/open_content/childrenpark/,서울시야경명소,A
POI_FA9B6F0C,서울어린이대공원 후문 선형공원,37.5520117940291,127.078770241307,서울특별시 광진구 능동로 216,공원/광장,,,,,https://www.sisul.or.kr/open_content/childrenpark/,서울시야경명소,A
POI_9A3FEB2D,서울여상앞보도육교,37.580614,126.951799,,지명,,,,,,서울역사편찬원,C
POI_E3D4A2D6,서울여성플라자,37.5116087174603,126.927226422645,서울특별시 동작구 여의대방로54길 18,기타,,,동작구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2561938cfbe14d95b3b9cf234b417568&thumb=Y,https://www.seoulwomen.or.kr/sfwf/main/index.do,서울시문화공간,A
POI_0E55803F,서울역,37.555946,126.972317,,지명,,,,,,서울역사편찬원,A
POI_836567AF,서울역고가도로,37.5566606126.9705394,126.9705394,,지명,,,,,,서울역사편찬원,B
POI_32A7D31C,서울역사박물관,37.570507525011855,126.97052372473162,서울특별시 종로구 새문안로 55,박물관/기념관,,,종로구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=702652031e1d434d869fef533b8b628a&thumb=Y,https://museum.seoul.go.kr/,서울시문화공간,A
POI_4C805690,서울역사박물관 경교장(사적 제465호),37.56833998310813,126.9680343360196,서울특별시 종로구 새문안로 29,기타,,,종로구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1e961baf70764e79a523e1b5f26d6620&thumb=Y,https://museum.seoul.go.kr/www/intro/annexIntro/annex_21/annex_21_01.jsp?sso=ok,서울시문화공간,A
POI_DF49C621,서울역사편찬원,37.5203396980951,127.115517876627,서울 송파구 방이동 올림픽로 424(방이동 88-3),기타,,,송파구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=04e2505d93b245048cd5f38c0ec4d336&thumb=Y,http://history.seoul.go.kr,서울시문화공간,A
POI_0B58497B,서울역앞지하보도,37.556556,126.972422,,지명,,,,,,서울역사편찬원,C
POI_02ED3C84,서울역우체국앞지하보도,37.557880,126.971625,,지명,,,,,,서울역사편찬원,C
POI_F86013CC,서울연극센터,37.583389560237,127.001322132303,서울특별시 종로구 대명길 3,기타,,,종로구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5872826ed6eb4aac992d4bd5c1a6e0b7&thumb=Y,https://www.sfac.or.kr/artspace/artspace/play_main.do,서울시문화공간,A
POI_19C6C5AC,서울연극창작센터,37.5892179362926,127.006040752071,서울특별시 성북구 성북로 8,기타,,,성북구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7a2ce52cb0964c09b36f66e714d6ecf0&thumb=Y,https://www.sfac.or.kr/artspace/artspace/theater_main.do,서울시문화공간,A
POI_7AD03DF6,서울예고앞보도육교,37.606228,126.968483,,지명,,,,,,서울역사편찬원,B
POI_C2BD3B02,서울예술인지원센터,37.5836990003446,127.00371665858,서울특별시 종로구 동숭길 122,기타,,,종로구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=307159f5c37f4a149c30d037bc6e3bf3&thumb=Y,https://www.sfac.or.kr/sasc/main.do,서울시문화공간,A
POI_AD39AA86,서울올림픽기념관,37.5203396980951,127.115517876627,서울특별시 송파구 올림픽로 424,박물관/기념관,,,송파구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5c057c144be445fda7ae4637b9573f7f&thumb=Y,https://88olympic.kspo.or.kr/homepage/korean/contents/index.asp,서울시문화공간,A
POI_01BF51AC,서울우리소리박물관,37.577157928122,126.989622047178,서울특별시 종로구 율곡로 96,박물관/기념관,,,종로구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8e12eacb436f4ff58a6ad27c0a4af21b&thumb=Y,https://museum.seoul.go.kr/sekm,서울시문화공간,A
POI_95DD8D1F,서울월드컵경기장,37.5682884450841,126.897273034482,서울특별시 마포구 월드컵로 240,문화/체육,,,,,https://www.sisul.or.kr/open_content/worldcup/,서울시야경명소,A
POI_6A516006,서울장애예술창작센터,37.5827487259914,127.003607698821,서울 종로구 대학로12길 31 자유빌딩 2층,기타,,,종로구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6cc698f8313d4e2d97346240001f46f5&thumb=Y,https://www.sfac.or.kr/artspace/artspace/jamsil_main.do,서울시문화공간,A
